id,angle,latitude,longitude,prediction,id2,prob,x,y
1076,270,42.34281520188732,-83.037556,1.0,1076.27,0.9896538853645324,-83.037556,42.34281520188732
1185,225,42.33084030015581,-83.04292643,1.0,1185.225,0.9645729064941406,-83.04292643,42.33084030015581
1274,315,42.33691155683514,-83.03532654,1.0,1274.315,0.9529364109039308,-83.03532654,42.33691155683514
1313,180,42.33517700000427,-83.05947123,1.0,1313.18,0.558609128,-83.05947123,42.33517700000427
1322,180,42.33427342016794,-83.05896215,0.0,1322.18,0.4718209505081177,-83.05896215,42.33427342016794
1771,45,42.33514557591475,-83.04667725,1.0,1771.045,0.833295465,-83.04667725,42.33514557591475
223,315,42.32904655370171,-83.05124909,1.0,223.315,0.9872429370880128,-83.05124909,42.32904655370171
236,225,42.33044759602124,-83.04718164,1.0,236.225,0.9864245653152466,-83.04718164,42.33044759602124
295,-45,42.33507195186705,-83.04218397,1.0,294.955,0.871997058,-83.04218397,42.33507195186705
389,90,42.33433297245078,-83.05119927,1.0,389.09,0.9443931579589844,-83.05119927,42.33433297245078
403,45,42.33680016341062,-83.05464082,1.0,403.045,0.8003381490707397,-83.05464082,42.33680016341062
513,135,42.32635991497197,-83.06026757,1.0,513.135,0.9809049367904664,-83.06026757,42.32635991497197
572,315,42.33040263240072,-83.06344193,1.0,572.315,0.927314043,-83.06344193,42.33040263240072
679,315,42.32822367,-83.05039724,1.0,679.315,0.9599362015724182,-83.05039724,42.32822367
69,135,42.33650104725324,-83.05202219,1.0,69.135,0.7890996336936951,-83.05202219,42.33650104725324
745,315,42.342560848851136,-83.05212171,1.0,745.315,0.9792023301124572,-83.05212171,42.342560848851136
806,180,42.34261474362411,-83.06067659,1.0,806.18,0.9242833256721495,-83.06067659,42.34261474362411
809,225,42.34028724886701,-83.05942744,1.0,809.225,0.9765278100967408,-83.05942744,42.34028724886701
839,315,42.33014148894462,-83.06152299,1.0,839.315,0.874420166,-83.06152299,42.33014148894462
853,45,42.33228299720752,-83.05466689,1.0,853.045,0.8928990364074707,-83.05466689,42.33228299720752
884,135,42.33256499591813,-83.0379671,1.0,884.135,0.8918356895446777,-83.0379671,42.33256499591813
980,-45,42.33722265554804,-83.06190773,1.0,979.955,0.8330111503601074,-83.06190773,42.33722265554804
