id,angle,latitude,longitude,prediction,id2,prob,x,y
1076,270,42.34281520188732,-83.037556,1.0,1076.27,0.9896538853645324,-83.037556,42.34281520188732
1184,225,42.33093930015583,-83.04300397,1.0,1184.225,0.9914438128471376,-83.04300397,42.33093930015583
1205,-45,42.33178362873098,-83.03778918,1.0,1204.955,0.9884232878684998,-83.03778918,42.33178362873098
1274,315,42.33691155683514,-83.03532654,1.0,1274.315,0.9529364109039308,-83.03532654,42.33691155683514
1355,-45,42.336568859475314,-83.04079462,1.0,1354.955,0.9901406168937684,-83.04079462,42.336568859475314
223,135,42.32904655370171,-83.05124909,1.0,223.135,0.942693055,-83.05124909,42.32904655370171
236,225,42.33044759602124,-83.04718164,1.0,236.225,0.9864245653152466,-83.04718164,42.33044759602124
252,135,42.33584879149026,-83.04665203,1.0,252.135,0.9774863719940186,-83.04665203,42.33584879149026
388,90,42.33402622093058,-83.04983931,1.0,388.09,0.992639661,-83.04983931,42.33402622093058
402,405,42.33658896761168,-83.05447989,1.0,402.405,0.6655483841896057,-83.05447989,42.33658896761168
403,45,42.33680016341062,-83.05464082,1.0,403.045,0.8003381490707397,-83.05464082,42.33680016341062
451,135,42.327859277731086,-83.06183575,0.0,451.135,0.1715975254774093,-83.06183575,42.327859277731086
513,315,42.32635991497197,-83.06026757,1.0,513.315,0.908528209,-83.06026757,42.32635991497197
560,0,42.333307253550224,-83.05459178,0.0,560.0,0.1816950291395187,-83.05459178,42.333307253550224
572,315,42.33040263240072,-83.06344193,1.0,572.315,0.927314043,-83.06344193,42.33040263240072
679,315,42.32822367,-83.05039724,1.0,679.315,0.9599362015724182,-83.05039724,42.32822367
745,315,42.342560848851136,-83.05212171,1.0,745.315,0.9792023301124572,-83.05212171,42.342560848851136
758,-90,42.33517296187206,-83.051203,1.0,757.91,0.9697169065475464,-83.051203,42.33517296187206
806,180,42.34261474362411,-83.06067659,1.0,806.18,0.9242833256721495,-83.06067659,42.34261474362411
809,225,42.34028724886701,-83.05942744,1.0,809.225,0.9765278100967408,-83.05942744,42.34028724886701
812,180,42.33936078321331,-83.06123117,1.0,812.18,0.5962178707122803,-83.06123117,42.33936078321331
839,315,42.33014148894462,-83.06152299,1.0,839.315,0.874420166,-83.06152299,42.33014148894462
853,45,42.33228299720752,-83.05466689,1.0,853.045,0.8928990364074707,-83.05466689,42.33228299720752
871,-45,42.33578951305819,-83.04260639,1.0,870.955,0.9415006637573242,-83.04260639,42.33578951305819
980,-45,42.33722265554804,-83.06190773,1.0,979.955,0.8330111503601074,-83.06190773,42.33722265554804
